skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
SerpentCharge	352			31	67																																																																																															25	37																		1	2		none												SQ	A1	xx	4					1	1								1														1															0	0																				ln34	Damage %	0	Velocity %			0	% Damage Dealt as Elemental (Used only if there is an Etype)					150	Velocity %			0	Damage % baseline	0	Damage % per level																	1	50	15						8	128																																				0	0
Trap Nova	353				22													trapnova	trapnova	trapnova																																																																		sorceress_cast_lightning											light_cast_1				25						trapnova				0	Missile Velocity Adder							1	2		none												SC	SC	xx																										sorceress_cast_lightning			1															0	0																				0	Missile Velocity Adder																																			1								8																																					0	0
UnHolyBoltEx	354														unholybolt1																																																																																											unholybolt1													1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
ShamanFireEx	355														shafire1																																																																																											shafire1													1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
Imp Fire Missile Ex	356														impmiss21																																																																							sorceress_cast_fire											fist_will_cast									impmiss21													1	0		none												A1	A1	A1																													1															0	0									1											lvl-1	range adder																																			1								8																																					0	0
Interact	357		interact																																																																																																																					0		none														xx																													1															0	0																																																								1																																													0	0
Loot	358		loot																																																																																																																					0		none														xx																													1															0	0																																																								1																																													0	0
TownPortal	359		townportal																																																																																																																					0		none														xx																													1															0	0																																																								1																																													0	0
EmoteWheel	360		emotewheel																																																																																																																					0		none														xx																													1															0	0																																																								1																																													0	0
SwapWeapons	361		swapweapons																																																																																																																																																																																	0	0																																																																																																					0	0
Map	362		map																																																																																																																																																																																	0	0																																																																																																					0	0
ShowItems	363		showitems																																																																																																																																																																																	0	0																																																																																																					0	0
RunToggle	364		runtoggle																																																																																																																																																																																	0	0																																																																																																					0	0
MonHolyFreeze	365				81																		303747	holywind	holywindcold		ln12*2	velocitypercent	-dm34	attackrate	-dm34	other_animrate	-dm34																coldmindam	enms*par5/256	coldmaxdam	exms*par5/256																																																																			1	8		none														xx																													18	20														0	1									1	1	1		50																			6	Radius baseline	1	Radius per level	25	Slow % Min	60	Slow % Max	5	Damage multiplier added to Attacks	0	"Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)"	7	Damage synergy	15	Damage synergy									1				16385				8															cold	2	1	2	3	4	5	3	1	2	3	4	5									640	16000	0
MonLeap	366			40	77													leapknockback									dm12																																																										1		barbarian_leap_1													29	43																		1	0		none												SQ	A1	xx	13		1		4																								6	20														0	0									1											ln34	Knockback Radius	par7	Leap Speed %									4	Range Min	30	Range Max	4	Knockback Radius baseline	1	Knockback Radius per level					100	Leap Speed %											1								8																																				384	3000	0
